2024-10-03 17:49:02,903 INFO django.utils.autoreload Watching for file changes with StatReloader
2024-10-03 17:49:05,328 WARNING django.channels.server HTTP GET / 404 [0.01, 127.0.0.1:65032]
2024-10-03 17:49:05,534 WARNING django.channels.server HTTP GET /favicon.ico 404 [0.01, 127.0.0.1:65032]
2024-10-03 17:49:15,136 INFO django.channels.server HTTP GET /jobs/jobs/ 200 [0.32, 127.0.0.1:65032]
2024-10-03 17:49:15,194 INFO django.channels.server HTTP GET /static/rest_framework/css/bootstrap.min.css 304 [0.01, 127.0.0.1:65032]
2024-10-03 17:49:15,197 INFO django.channels.server HTTP GET /static/rest_framework/css/bootstrap-tweaks.css 304 [0.01, 127.0.0.1:65033]
2024-10-03 17:49:15,202 INFO django.channels.server HTTP GET /static/rest_framework/css/prettify.css 304 [0.01, 127.0.0.1:65034]
2024-10-03 17:49:15,205 INFO django.channels.server HTTP GET /static/rest_framework/css/default.css 304 [0.01, 127.0.0.1:65035]
2024-10-03 17:49:15,314 INFO django.channels.server HTTP GET /static/rest_framework/js/jquery-3.7.1.min.js 200 [0.12, 127.0.0.1:65036]
2024-10-03 17:49:15,338 INFO django.channels.server HTTP GET /static/rest_framework/js/ajax-form.js 200 [0.14, 127.0.0.1:65037]
2024-10-03 17:49:15,360 INFO django.channels.server HTTP GET /static/rest_framework/js/csrf.js 200 [0.16, 127.0.0.1:65032]
2024-10-03 17:49:15,396 INFO django.channels.server HTTP GET /static/rest_framework/js/bootstrap.min.js 200 [0.18, 127.0.0.1:65033]
2024-10-03 17:49:15,435 INFO django.channels.server HTTP GET /static/rest_framework/js/prettify-min.js 200 [0.22, 127.0.0.1:65034]
2024-10-03 17:49:15,454 INFO django.channels.server HTTP GET /static/rest_framework/js/default.js 200 [0.24, 127.0.0.1:65035]
2024-10-03 17:49:15,457 INFO django.channels.server HTTP GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 304 [0.14, 127.0.0.1:65036]
2024-10-03 17:49:15,471 INFO django.channels.server HTTP GET /static/rest_framework/js/load-ajax-form.js 200 [0.13, 127.0.0.1:65037]
2024-10-03 17:49:15,473 INFO django.channels.server HTTP GET /static/rest_framework/img/grid.png 304 [0.11, 127.0.0.1:65032]
2024-10-03 19:08:47,258 INFO django.channels.server HTTP OPTIONS /auth/jwt/refresh 200 [0.00, 127.0.0.1:50293]
2024-10-03 19:08:47,327 WARNING django.channels.server HTTP POST /auth/jwt/refresh 400 [0.01, 127.0.0.1:50293]
2024-10-04 10:52:55,006 INFO django.utils.autoreload Watching for file changes with StatReloader
2024-10-04 11:06:56,452 INFO django.channels.server HTTP GET /jobs 301 [0.03, 127.0.0.1:54309]
2024-10-04 11:06:56,654 INFO django.channels.server HTTP GET /jobs/ 200 [0.03, 127.0.0.1:54309]
2024-10-04 11:16:14,903 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=4 200 [0.01, 127.0.0.1:54622]
2024-10-04 11:16:14,905 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:54623]
2024-10-04 11:16:14,907 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:54626]
2024-10-04 11:16:14,908 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=2 200 [0.01, 127.0.0.1:54627]
2024-10-04 11:16:14,909 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:54628]
2024-10-04 11:16:15,064 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=null 200 [0.01, 127.0.0.1:54635]
2024-10-04 11:16:15,066 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=null 200 [0.01, 127.0.0.1:54638]
2024-10-04 11:16:15,068 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=4 200 [0.01, 127.0.0.1:54639]
2024-10-04 11:16:15,069 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=null 200 [0.01, 127.0.0.1:54640]
2024-10-04 11:16:15,071 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=2 200 [0.01, 127.0.0.1:54641]
2024-10-04 11:16:15,073 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=6 200 [0.01, 127.0.0.1:54642]
2024-10-04 11:16:15,074 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=2 200 [0.01, 127.0.0.1:54643]
2024-10-04 11:16:15,140 INFO django.channels.server HTTP OPTIONS /jobs/job-categories 200 [0.01, 127.0.0.1:54648]
2024-10-04 11:16:15,141 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=null 200 [0.01, 127.0.0.1:54649]
2024-10-04 11:16:15,141 INFO django.channels.server HTTP OPTIONS /jobs/jobs 200 [0.01, 127.0.0.1:54651]
2024-10-04 11:16:15,143 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=2 200 [0.01, 127.0.0.1:54650]
2024-10-04 11:16:15,257 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=6 200 [0.01, 127.0.0.1:54658]
2024-10-04 11:16:15,258 INFO django.channels.server HTTP OPTIONS /jobs/jobs 200 [0.01, 127.0.0.1:54659]
2024-10-04 11:16:15,262 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=5 200 [0.01, 127.0.0.1:54660]
2024-10-04 11:16:15,263 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=null 200 [0.01, 127.0.0.1:54661]
2024-10-04 11:16:15,266 INFO django.channels.server HTTP OPTIONS /jobs/job-categories 200 [0.01, 127.0.0.1:54662]
2024-10-04 11:16:15,268 INFO django.channels.server HTTP OPTIONS /jobs/job-sub-categories/?id=null 200 [0.01, 127.0.0.1:54663]
2024-10-04 11:16:15,272 INFO django.channels.server HTTP GET /jobs/job-sub-categories/?id=4 200 [0.02, 127.0.0.1:54623]
